SN,AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
135,1,7,2,6.3,0.52,0.8,No
136,1,6,7,2.2,0.45,0.8,No
137,1,1,0,12.4,0.29,2.57,No
138,2,13,2,5.9,0.96,0.69,No
139,1,8,10,6.7,0.47,1.14,No
140,1,4,3,6.6,1.16,1.28,Yes
141,1,0,2,16,1.01,1.55,Yes
142,1,9,6,17.8,2.85,5.16,Yes
143,3,16,22,4.4,1.28,4.66,No
144,2,11,8,9.1,0.14,2.13,No
145,3,16,17,5.4,0.45,3.22,No
146,3,5,3,3.4,0.36,1.04,No
147,1,1,3,12.4,0.38,2.85,No
148,1,2,8,10,1.77,0.73,No
149,1,11,1,8.4,0.68,2.09,No
150,2,8,4,8,1.72,1.8,No
151,3,15,14,18.1,1.55,7.68,No
152,3,13,23,6.1,2.15,2.48,Yes
153,2,4,10,16.3,1.33,2.42,No
154,1,8,6,7.2,0.61,1.55,No
155,1,3,5,13.2,1.63,2.72,No
156,2,13,3,19.2,2.8,4.69,No
157,2,12,11,11.3,2.1,1.51,No
158,3,9,2,14.8,1.56,2.59,Yes
159,2,9,4,13.8,1.35,2.65,Yes
160,2,9,5,4.5,0.31,0.86,No
161,1,4,0,8.9,1.42,0.89,No
162,1,5,9,8.7,0.77,3.05,No
163,2,2,1,6.8,0.28,1.49,Yes
164,2,8,6,4.1,0.33,0.74,No
165,2,1,8,12.5,0.59,2.41,Yes
166,2,13,11,18.9,6.23,13.05,Yes
167,1,4,2,15.6,1.64,2.11,Yes
168,2,4,9,6.5,1.18,1.29,No
169,3,14,3,1.7,0.35,0.39,No
170,2,16,9,4,1.73,1.43,No
171,1,7,9,9.7,0.55,1.58,No
172,2,4,10,11.3,0.29,2.87,No
173,2,1,0,4.8,0.31,0.65,Yes
174,2,14,7,8.8,3.75,2.67,No
175,2,6,14,7.5,0.57,1.01,No
176,1,6,0,10.3,0.72,1.55,No
177,1,1,1,17.3,0.16,2.96,No
178,1,7,2,7,0.36,2.02,No
179,2,13,5,8.9,0.6,1.53,No
180,2,2,14,22.9,2.12,5.89,Yes
181,2,12,10,5,0.56,1.74,No
182,2,8,19,5.6,0.88,2.31,No
183,3,16,21,3,0.91,1.49,No
184,1,10,6,6.5,0.85,1.36,No
185,1,0,7,24.2,1.42,5.59,No
186,2,13,9,8,0.97,1.19,No
187,2,14,21,15,2.79,3.66,Yes
188,1,11,8,16.9,4.64,4.83,No
189,2,1,4,9.3,0.43,1.05,No
190,3,19,2,15.6,4.4,7.76,No
191,1,4,3,13.2,1.09,1.82,Yes
192,1,1,8,11,0.75,1.12,No
193,2,10,0,11.2,0.82,2.32,Yes
194,2,1,6,2.5,0.28,0.25,Yes
195,2,13,2,7.2,0.18,2.7,No
196,1,4,0,4.2,0.5,0.89,No
197,1,1,0,5.9,0.24,0.82,Yes
198,2,9,10,4.3,0.38,0.83,No
199,3,8,27,6.9,0.4,2.84,No
200,2,6,6,23.1,3.34,4.05,Yes
201,1,3,7,4.1,0.26,0.52,No
202,3,8,10,6.1,0.28,5.08,Yes
203,3,3,23,9.8,0.97,3.44,No
204,2,0,17,9.7,0.33,2.58,No
205,1,7,1,5.5,0.57,2.89,No
206,2,17,11,6,2.56,4.4,No
207,2,7,6,6,0.54,1.02,No
208,1,6,6,1,0.14,0.16,No
209,2,14,11,7.2,1.78,4.05,No
210,1,6,0,1.9,0.09,0.58,No
211,2,16,6,12.1,1.61,12.42,No
212,3,5,3,9,1.97,2.35,Yes
213,1,1,10,4.5,0.28,1.07,No
214,2,5,3,5.4,0.58,1.42,Yes
215,2,16,3,10.4,3.95,3.85,No
216,2,12,8,6.7,1.3,1.85,No
217,3,14,25,10.2,1.35,2.22,No
218,3,21,22,12.2,3.24,14.45,No
219,1,7,8,4,0.45,0.75,Yes
220,1,0,6,8,1.62,3.98,Yes
221,1,11,6,2.4,0.11,0.47,No
222,3,0,27,10.8,0.85,1.2,No
223,3,17,26,12,3.38,10.18,No
224,1,5,6,19.9,3.18,10.75,Yes
225,3,9,5,20.4,4.04,8.2,Yes
226,1,5,2,7.9,0.3,1.04,No
227,1,10,8,18.1,3.7,4.26,No
228,2,5,6,1.9,0.88,0.54,No
229,1,0,3,5.6,0.21,0.91,No
230,1,7,3,14.4,0.85,2.32,No
231,3,9,10,15.3,1.61,7.57,No
232,3,3,11,8,0.56,2.64,Yes
233,2,8,16,0.6,0.03,0.2,No
234,2,5,1,2.8,0.1,0.82,No
235,1,11,9,0.9,0.07,0.17,No
236,1,7,0,6.5,0.53,0.64,No
237,1,4,3,9.5,0.23,2.43,No
238,2,2,11,9.1,0.12,1.25,Yes
239,2,11,4,3.5,0.63,1.99,No
240,2,6,19,19.9,2.54,5.82,Yes
241,1,4,4,18.3,0.49,3.35,No
242,1,10,11,9.5,2.06,1.65,No
243,2,7,10,4.3,0.43,0.94,No
244,3,21,20,14.4,9.6,7.39,No
245,1,3,4,13.3,1.6,3.05,No
246,2,12,4,23.7,2.06,5.29,No
247,2,15,16,1.8,0.14,0.56,No
248,2,5,3,14.1,1.18,2.35,No
249,2,15,11,18.5,1.21,6.19,No
250,2,10,16,13.3,4.87,8.16,No
251,3,22,17,11.1,3.32,12.66,No
252,2,13,3,21.3,2.71,8.36,Yes
253,2,13,3,1.9,1.42,0.58,No
254,2,1,1,7.9,0.37,1.29,No
255,2,5,13,9,0.45,1.44,No
256,3,19,1,7.8,2.25,5.23,No
257,2,18,19,4.5,0.61,1.37,No
258,2,2,14,13.2,1.14,4.01,No
259,3,16,25,4.4,2.6,1,No
260,2,10,2,9.5,0.57,2.56,No
261,3,15,1,24.5,2.21,5.14,No
262,2,8,6,5.4,2.16,2.06,No
263,1,8,7,11.9,0.4,1.74,No
264,3,9,11,19.2,0.8,3.81,Yes
265,2,9,6,5,0.23,1.52,No
266,2,7,0,6.4,0.63,0.78,No
267,2,0,1,7.2,0.19,1.32,No
268,2,9,7,14.6,3.11,5.5,Yes
269,1,2,9,15.2,0.87,1.56,No
270,2,19,16,3.7,0.92,0.75,No
271,3,22,23,7.6,4.14,4.98,No
272,1,4,1,1.2,0.08,0.11,No
273,1,6,4,10.4,0.93,1.77,No
274,2,16,10,21,0.69,7.29,No
275,1,6,7,7.2,0.77,1.96,No
276,1,1,0,10.3,0.38,1.68,Yes
277,1,2,6,13.6,1.58,1.69,Yes
278,2,14,0,2.4,0.27,0.59,No
279,1,0,11,3.7,0.45,0.18,Yes
280,2,13,1,8.9,1.9,1.48,No
281,2,11,6,4.8,0.35,1,Yes
282,2,15,2,24.7,4.37,5.26,Yes
283,2,8,3,12.6,0.13,5.03,No
284,1,1,7,10.4,0.57,2.03,No
285,1,9,0,13.9,1.07,2.4,No
286,2,9,16,7.6,0.65,1.63,No
287,1,11,7,6,0.93,0.99,No
288,2,2,16,22.7,1.21,3.79,Yes
289,2,16,15,3.4,0.18,1.05,No
290,1,11,5,6.1,0.71,1.49,No
291,1,3,4,4.4,0.26,1.23,No
292,2,9,8,5.5,0.5,1.26,No
293,3,19,25,2.8,1.07,3.38,No
294,1,4,2,2.6,0.1,0.45,No
295,2,10,12,9.8,3.24,1.57,Yes
296,3,10,14,5.4,0.93,1.88,No
297,1,3,1,9,0.47,1.06,No
298,2,0,10,17.1,2.05,1.37,No
299,1,4,5,5,0.55,0.8,Yes
300,2,20,2,1.9,0.54,0.52,No
301,3,29,18,25.3,20.56,12.08,Yes
302,3,6,24,9.6,0.62,4.56,No
303,3,22,19,5.5,1.51,2.95,No
304,1,6,2,5.2,0.11,0.98,No
305,1,5,1,6.3,2.21,2.52,No
306,1,9,4,1.2,0.07,0.15,No
307,2,11,12,14.7,0.45,6.02,No
308,2,16,20,19.4,1.56,9.5,No
309,1,10,1,7.1,1.31,0.47,No
310,3,4,19,10.1,1.06,1.46,No
311,2,19,15,27.1,9.59,6.67,Yes
312,2,18,8,12.1,4.59,1.94,No
313,1,2,0,14.4,0.59,1.43,Yes
314,3,6,9,11.6,1.02,2.57,No
315,2,1,6,11.1,1.07,2.15,No
316,2,4,15,17.3,0.52,2.42,No
317,2,16,4,20,4.16,6.24,No
318,1,0,2,6.7,0.47,1.07,No
319,2,4,15,7,0.4,1.91,No
320,1,4,1,3.1,0.28,0.96,Yes
321,1,8,4,5,0.38,0.82,No
322,1,3,4,11,0.29,4.66,Yes
323,3,16,22,1.6,0.43,0.35,No
324,2,0,8,8.1,0.9,0.97,Yes
325,2,5,12,16.4,1.58,4.16,Yes
326,3,25,12,26.5,14.6,17.2,Yes
327,2,12,6,17.4,2.77,12.71,No
328,2,2,4,3.7,0.85,0.33,No
329,1,1,8,8,0.16,2.32,No
330,1,8,6,12,0.76,2,No
331,1,1,1,1.1,0.03,0.17,No
332,1,3,3,2.4,0.26,0.94,Yes
333,1,2,4,2.5,0.46,0.57,Yes
334,1,0,5,10.4,0.64,3.32,No
335,2,16,9,14.3,5,7.73,No
336,2,11,2,3.3,0.09,1.66,No
337,2,7,16,15.4,2.65,3.97,No
338,2,20,12,8.2,0.77,2.42,No
339,1,6,8,19.8,5.57,3.73,Yes
340,1,4,2,14.2,0.44,3.54,Yes
341,3,6,19,12.2,1.99,1.8,No
342,1,4,8,6.5,0.35,0.62,No
343,2,15,19,4.9,0.42,1.15,No
344,2,5,3,16,8.17,27.03,Yes
345,3,18,4,13.4,4.52,5.39,No
346,1,0,8,16.6,0.62,2.53,Yes
347,1,3,0,4.3,0.36,0.46,No
348,2,10,13,11.3,1.17,2.45,No
349,1,3,8,2.6,0.15,0.24,No
350,2,2,1,3.8,0.28,1.09,No
351,3,8,21,0.7,0.09,0.22,No
352,1,1,3,18.6,0.81,2.36,No
353,2,10,8,1.2,0.04,0.37,No
354,2,6,13,8.5,1.19,4.08,No
355,3,18,6,15.7,6.57,4.58,Yes
356,3,7,6,14.5,0.37,7.75,Yes
357,2,2,15,23.1,1.92,3.17,Yes
358,1,0,2,16.1,0.32,2.09,Yes
359,2,9,10,23,2.69,9.04,No
360,1,0,1,7.7,1.53,0.47,No
361,1,13,7,2.3,0.07,0.55,No
362,2,14,3,0.8,0.47,0.19,No
363,1,6,7,18.1,1.11,2.69,No
364,3,2,22,6.7,0.11,1.9,No
365,2,0,18,12.9,1.58,0.74,Yes
366,2,3,13,1.9,0.43,0.46,No
367,2,5,12,8.1,0.73,0.89,No
368,2,18,9,2.1,0.37,0.56,No
369,2,18,9,11.2,5.25,2.26,No
370,3,22,4,2.3,0.83,1.45,No
371,2,13,11,9.6,1.88,3.02,No
372,1,7,4,9.1,0.64,1.72,No
373,3,8,11,3.3,0.68,0.81,No
374,2,14,8,41.3,15.02,14.72,Yes
375,2,20,17,1.4,0.34,1.07,No
376,1,1,4,2.5,0.13,0.29,No
377,2,7,15,6.4,0.95,1.61,No
378,1,1,0,4.9,0.61,0.42,No
379,2,15,2,4.8,0.8,2.08,No
380,1,10,6,2.7,0.31,0.34,No
381,1,12,7,7.7,1.85,1.61,No
382,3,13,20,30.8,6.11,9.29,Yes
383,2,2,12,16,4,3.36,Yes
384,2,3,3,3.7,0.28,0.65,No
385,3,9,0,9.4,1.33,5.25,Yes
386,3,3,11,21.3,1.4,4.35,No
387,1,7,3,5.1,0.21,0.91,No
388,3,15,0,3.1,0.48,3.43,No
389,2,7,10,4.9,0.23,0.9,No
390,2,13,8,6.1,0.86,2.55,No
391,2,22,4,3.6,0.63,2.79,No
392,1,2,5,6.4,0.27,0.75,Yes
393,2,2,14,3.1,0.53,0.84,No
394,3,5,29,17.3,6.94,6.56,Yes
395,3,9,1,20.1,2.54,7.91,Yes
396,2,5,5,13,0.17,3.99,No
397,2,14,8,17,1.14,3.62,No
398,3,11,5,10.1,2.46,1.48,No
399,1,0,7,9.3,1.27,1.33,No
400,1,2,2,9.6,0.8,0.73,Yes
401,1,0,4,8.7,0.45,1.37,No
402,2,4,13,1.6,0.44,0.45,No
403,1,5,2,8.3,1.12,1.95,No
404,1,0,8,29.7,3.9,15.41,Yes
405,2,18,10,15.4,2.1,3.14,No
406,3,16,14,11.1,1.66,6.22,No
407,1,12,2,6.7,1.63,1.05,No
408,3,0,9,6.6,0.28,3.95,No
409,2,13,12,5,0.24,1.11,No
410,2,10,4,4.8,0.18,1.3,No
411,3,21,26,3,2.56,1.4,No
412,3,22,24,11.7,1.26,9.39,No
413,2,14,17,5.7,1.89,1.13,No
414,1,0,6,12.1,1.6,1.31,Yes
415,1,1,7,21.2,2.33,3.82,Yes
416,1,8,4,6.4,0.33,3.25,No
417,2,1,1,4.5,0.22,0.86,No
418,3,4,2,4.6,0.05,1.28,No
419,2,11,4,23.8,5.44,8.13,Yes
420,3,19,7,30.1,3.18,11.87,No
421,3,1,15,14.8,1.38,1.73,Yes
422,3,16,10,4.1,0.26,3.14,No
423,3,3,7,7,0.76,0.92,No
424,1,8,7,2.8,0.55,1.16,No
425,1,0,4,18.4,0.82,5.07,Yes
426,2,8,0,1.6,0.02,0.49,No
427,1,0,1,2.3,0.04,0.35,No
428,3,16,7,0.4,0.16,0.2,No
429,1,2,1,4.5,0.12,1,Yes
430,3,21,2,20.5,6.95,8.63,No
431,2,12,5,25.1,7.82,9.25,Yes
432,3,11,5,4.8,0.83,0.89,No
433,2,9,4,6.6,0.79,3.43,No
434,1,0,8,12.9,1.04,1.8,Yes
435,2,9,16,18.7,4.76,5.71,No
436,1,1,2,5.7,0.84,1.56,No
437,1,0,5,1.1,0.13,0.05,No
438,2,18,14,6.6,3.33,7.04,No
439,2,8,2,3.7,0.98,0.68,No
440,2,16,12,3.7,0.69,1.27,No
441,2,22,1,14.6,5.4,9.2,No
442,2,10,11,9.1,1.54,2.28,No
443,2,23,1,18.9,3.13,11.04,No
444,1,3,3,28.9,2.68,3.39,Yes
445,3,18,14,6.5,16.03,12.96,Yes
446,3,11,20,15,4.67,4.18,No
447,2,5,9,4.5,0.33,0.71,No
448,3,7,12,10.2,1.63,0.92,No
449,3,3,13,13.2,3.04,2.63,Yes
450,2,2,2,16.4,1.74,1.87,Yes
451,3,25,16,2.6,1.64,4.66,No
452,1,6,9,11.5,0.65,1.88,No
453,2,11,17,12.9,2.56,2.47,No
454,2,0,8,7.9,1.07,2.01,No
455,2,1,14,16.1,2.69,2.62,Yes
456,1,0,11,12,0.3,1.74,No
457,2,9,16,5.9,0.89,9.56,No
458,1,4,3,17.5,0.23,2.22,No
459,3,1,26,14.3,1.85,1.87,No
460,1,10,2,4.4,0.34,0.5,No
461,2,8,0,4,0.28,0.56,No
462,1,0,2,12.5,0.49,2.14,Yes
463,2,9,2,2.6,0.12,0.61,No
464,2,9,1,5.8,0.6,1.14,No
465,3,0,23,22.3,2.66,4.03,No
466,1,4,1,23.8,1.09,2.72,No
467,3,16,26,17.6,15.79,23.1,Yes
468,1,6,1,4.4,0.24,1.26,No
469,1,6,10,18.4,1.99,9.97,No
470,1,2,0,4.5,0.29,0.61,Yes
471,1,7,5,19.8,1.01,2.95,Yes
472,1,0,3,6.6,0.59,1.32,Yes
473,3,12,3,9.7,0.36,2.65,No
474,1,1,0,4.4,0.27,0.52,No
475,2,13,0,2.4,0.41,1.01,No
476,3,12,16,7.7,0.99,4.86,No
477,1,3,2,16.3,0.35,2.58,Yes
478,1,5,5,10.9,0.4,2,No
479,3,27,21,11.5,0.82,18.27,No
480,2,21,16,16.5,4.58,4.99,No
481,3,9,20,5.2,0.55,1.17,No
482,1,2,3,9.7,0.89,1.63,Yes
483,2,5,3,7.3,0.78,1.63,No
484,1,6,2,4.5,0.07,1.1,No
485,3,5,17,10.5,3.61,6.26,Yes
486,2,4,10,5.8,0.57,0.88,No
487,1,2,8,5.7,0.32,0.99,Yes
488,2,10,13,20.9,6.11,5.8,Yes
489,2,0,16,15,1.97,1.33,Yes
490,3,15,31,1.1,0.47,0.19,No
491,2,13,13,3.6,0.23,1.28,No
492,3,13,13,25.2,2.32,20.62,Yes
493,1,0,2,33.3,2.28,7.04,Yes
494,2,12,14,16,5.72,4.36,Yes
495,1,3,2,17.8,1.01,1.84,Yes
496,3,4,9,7.1,1.19,1.15,Yes
497,1,12,9,7.2,2.94,4.12,No
498,3,12,5,13,1.48,9.7,No
499,1,0,2,18.9,0.51,2.89,Yes
500,3,6,0,19.5,4.51,2.51,Yes
501,1,0,1,7.7,0.48,0.91,No
502,2,3,11,17.2,1.8,5.08,Yes
503,3,6,23,7.8,3.16,11.66,No
504,2,3,19,14.7,0.83,2.55,No
505,1,1,3,18.7,0.89,2.48,Yes
506,1,2,5,19.9,1.52,4.45,No
507,3,19,25,4.7,0.4,3.79,No
508,1,9,2,3.5,0.11,0.6,No
509,1,1,4,14.7,0.57,1.78,No
510,3,19,11,7.5,0.78,5.14,No
511,1,3,1,19.1,2.17,2.41,No
512,2,13,7,9.2,1.5,3.29,No
513,1,6,9,4.2,0.58,0.47,No
514,2,6,9,8.3,0.73,1.01,No
515,3,14,1,8.6,1.2,2.93,Yes
516,3,11,1,15,0.54,7.11,No
517,2,22,9,14.3,3.73,6.71,No
518,3,0,19,4.2,0.03,0.89,No
519,3,7,22,2.9,0.07,0.86,No
520,1,9,0,1.6,0.24,0.49,No
521,2,7,5,15.1,1.38,4.36,No
522,1,5,6,6.8,0.71,0.99,No
523,1,4,7,4.1,0.29,0.49,No
524,3,17,22,3.2,1.47,0.64,No
525,1,2,5,6,0.53,0.55,No
526,2,6,12,4.2,0.15,1.24,No
527,3,10,9,6.4,0.41,4.01,No
528,3,3,10,10.6,0.67,1.88,No
529,3,31,14,7.8,4.27,15.15,No
530,1,4,3,23.1,1.89,2.5,Yes
531,2,6,10,11.7,1.7,1.93,Yes
532,1,1,3,13.8,1.98,1.47,Yes
533,3,2,13,16.9,0.38,3,Yes
534,1,9,8,8.2,0.15,2.31,No
535,3,2,16,9.7,1.47,1.44,No
536,2,15,0,13.2,3.74,5.1,No
537,2,9,7,1.7,0.3,0.16,No
538,2,5,5,15,1.81,4.64,Yes
539,3,18,23,9.6,1.64,4.69,No
540,1,3,0,16.1,0.84,1.42,Yes
541,2,16,9,7.6,1.47,2.17,No
542,1,10,2,4.7,0.13,1.38,No
543,1,12,9,20.1,2.86,10.81,No
544,2,4,3,28.5,0.89,3.67,Yes
545,2,13,18,5.7,0.34,1.08,No
546,3,10,24,8.5,0.68,2.47,No
547,2,9,8,13.5,1.19,5.96,No
548,2,10,18,17.3,3.02,18.26,No
549,2,4,11,21.7,0.17,4.17,Yes
550,3,12,11,26.5,4.99,17.8,Yes
551,2,0,4,3,0.26,0.34,Yes
552,1,0,1,9,0.78,2.37,Yes
553,2,12,3,18.2,5.55,5.92,No
554,3,17,23,9.5,0.46,3.44,No
555,2,21,21,6.2,0.97,1.89,No
556,2,8,1,6.7,0.37,1.1,No
557,2,7,0,2.2,0.13,0.47,No
558,3,13,17,7.7,7.39,10.63,No
559,1,2,2,2.5,0.2,0.23,Yes
560,2,15,18,13.4,5.09,3.35,No
561,2,10,4,3.1,0.03,0.78,No
562,2,9,12,6.6,1.43,0.68,No
563,3,23,11,4,0.65,3.95,No
564,2,11,8,1.3,0.27,0.36,No
565,1,7,2,13.6,6.91,4.51,Yes
566,3,14,10,16.5,4.94,4.8,Yes
567,2,12,18,5.8,0.89,2.82,No
568,3,9,26,4.3,0.01,0.63,No
569,1,5,4,19.9,2.71,5.65,Yes
570,3,18,34,8.5,3.29,6.4,No
571,1,0,0,12.7,1.42,1.76,Yes
572,1,1,0,1.6,0.01,0.26,No
573,3,23,2,13.7,0.57,11.89,No
574,1,3,5,11.3,0.07,1.62,Yes
575,1,9,0,27.7,5.28,0.81,Yes
576,1,0,0,10.5,0.26,1.21,No
577,1,8,0,5.6,0.57,0.38,Yes
578,3,22,4,7.3,0.29,5.48,No
579,1,3,1,8.6,0.38,2.71,No
580,2,6,17,13,0.13,2.21,No
581,2,2,9,4.5,0.83,0.83,No
582,1,8,4,4.7,0.21,0.96,No
583,2,9,1,9.8,1.98,1.94,No
584,2,16,14,36.6,7.32,10.98,Yes
585,1,0,1,33.4,2.8,3.21,Yes
586,1,9,2,4.8,0.69,0.89,No
587,1,8,4,6.9,0.36,2.26,No
588,3,17,0,15,2.44,6.86,No
589,2,9,8,5.5,1.36,1.78,No
590,1,3,6,6.1,0.54,1.05,Yes
591,3,10,1,13.2,4.96,0.85,Yes
592,1,0,0,8.4,0.37,1.56,Yes
593,1,7,10,15.7,0.26,4.45,No
594,2,7,2,12.3,0.11,2.35,No
595,1,2,0,14.8,1.94,0.72,Yes
596,2,10,16,5.7,0.22,2.01,No
597,1,1,1,8.5,0.13,2.76,Yes
598,2,5,0,14.8,2.59,1.55,Yes
599,2,2,10,9.6,1.04,1.26,No
600,1,3,4,25.1,5.9,4.39,Yes
601,3,4,17,5.4,2.22,1.72,No
602,3,24,12,14,6.59,5.03,No
603,3,11,5,6.8,2.87,2.09,No
604,3,9,13,5,0.44,1.91,No
605,1,3,5,25.7,2.53,4.93,Yes
606,3,27,8,9.2,2.38,8.02,No
607,1,1,3,25.6,1.98,2.63,Yes
608,2,3,14,4.7,0.62,1.07,No
609,2,7,2,6.2,1.04,1.63,No
610,2,7,4,3,0.65,1.27,No
611,3,4,14,19.2,1.47,3.52,Yes
612,3,9,23,13.8,1.62,2.66,No
613,2,3,15,16.5,1.75,7.32,Yes
614,3,17,0,2.5,0.55,2.67,No
615,2,10,15,10.4,1.6,2.45,No
616,2,20,15,5.4,1.06,2.18,No
617,1,0,3,4.8,0.12,1.32,Yes
618,1,6,7,5.1,0.45,0.47,Yes
619,1,3,3,11.4,1.27,1.23,Yes
620,3,7,17,15.4,4.64,5.06,No
621,1,1,1,6.9,0.19,1.12,No
622,3,2,19,5.4,0.44,1.12,No
623,3,30,14,7.2,3.97,6.68,No
